pitcher_id,pitcher_name
608566,Germán Márquez
621107,Zach Eflin
621242,Edwin Díaz
621383,Tanner Banks
641793,Zack Littell
642121,Cole Sulser
650644,Aaron Civale
657514,Brennan Bernardino
657612,Tim Hill
660271,Shohei Ohtani
660761,José Suarez
663372,Ryan Feltner
663465,Kolby Allard
663542,Bryan Hudson
663554,Casey Mize
663687,Hogan Harris
664126,Pete Fairbanks
669093,Jeremiah Estrada
669467,Andre Pallante
669622,Anthony Bender
670036,Matt Festa
673540,Kodai Senga
675848,Juan Mejia
675989,Cody Bolton
676083,Janson Junk
676130,José Buttó
676263,Jack Dreyer
676534,Calvin Faucher
677053,Andrew Nardi
678394,Brayan Bello
681911,Alex Vesia
682227,Brandon Williamson
682842,Abner Uribe
688642,Zach Agnos
694297,Brandon Pfaadt
696149,Bubba Chandler
700669,Gordon Graceffo
663556,Shane McClanahan
670245,Ryan Watson
677961,Cole Wilcox
682995,Hunter Barco
686610,Ken Waldichuk
689296,Anthony Nunez
691725,Andrew Painter
519242,Chris Sale
543056,Danny Coulombe
544150,Albert Suárez
573204,Caleb Thielbar
579328,Yusei Kikuchi
592332,Kevin Gausman
605288,Adrian Houser
607536,Kyle Freeland
608371,Lucas Sims
608718,Brent Suter
621366,Ryan Borucki
622663,Luis Severino
642528,Jonathan Loáisiga
645261,Sandy Alcantara
656638,Alex Lange
656641,Jacob Latz
663559,Bailey Falter
665622,Luis Medina
666171,Ryan Zeferjahn
668909,Gavin Williams
669276,Dylan Lee
669923,George Kirby
670280,David Bednar
670970,Adrian Morejon
674444,Steven Cruz
678906,Kai-Wei Teng
681347,Mike Burrows
687849,Zak Kent
693645,Cam Schlittler
695243,Mason Miller
701552,Andre Granillo
702070,Noah Cameron
689520,Cody Laweryson
