pitcher_id,pitcher_name,role,total_pitches,n_pitches_test,mean_surp_model,mean_surp_base,ppi,unpredictability_ratio,deception_plus,status
680755,Braydon Fisher,reliever,500,22,12.976907270164533,1.2312736006789635,-1,10.53941809765811,134.28557489395928,evaluated
489446,Kirby Yates,reliever,500,21,8.68821687497614,0.9120360314605478,-1,9.526177229053882,129.98250233889638,evaluated
682254,Mason Montgomery,reliever,500,8,16.46545268170059,2.04431048300918,-1,8.054281782806203,123.73159685835127,evaluated
643410,Mark Leiter Jr.,reliever,500,10,4.6354312190337845,0.8537658747905529,-1,5.429393884091415,112.58411610914335,evaluated
675848,Juan Mejia,reliever,500,26,5.776541696419307,1.4915273734156653,-1,3.8729035748038365,105.97394972161594,evaluated
664126,Pete Fairbanks,reliever,500,20,4.937289799752166,1.2976061717628498,-1,3.804921637390689,105.68524126325549,evaluated
669270,Joel Kuhnel,reliever,346,22,6.607812302570567,1.765531300396086,-1,3.7426763836405197,105.42089558653181,evaluated
681217,Chase Silseth,reliever,500,5,4.329085498918918,1.3846013604044844,-1,3.126593417223178,102.80448937298841,evaluated
689266,Dylan Dodd,reliever,500,13,3.8968987230187824,1.2833611090410193,-1,3.0364787397451267,102.42178669341894,evaluated
663158,Robert Suarez,reliever,500,11,2.7809326972276116,1.12367302818567,-1,2.474859347400928,100.03667860266802,evaluated
676917,Cade Cavalli,starter,500,82,3.795193759138871,1.5940397761224558,-1,2.380865155304205,99.63750024253744,evaluated
820862,José Fermin,reliever,500,24,3.8886288822682133,1.7304700287895851,-1,2.2471518244024136,99.069641027342,evaluated
548384,Brooks Raley,reliever,500,14,2.4977547397252615,1.2658923844439869,-0.973117755047038,1.973117755047038,97.90586198966886,evaluated
572143,Burch Smith,reliever,500,27,2.7601095294038034,1.4630400309792355,-0.8865577639433551,1.886557763943355,97.53825549685355,evaluated
677865,Justin Bruihl,reliever,500,15,1.97684995404482,1.0925251729143304,-0.8094319499948339,1.809431949994834,97.21071445150868,evaluated
700669,Gordon Graceffo,reliever,500,1,3.234516277062441,1.8505999692509885,-0.7478203451886898,1.7478203451886898,96.9490597809071,evaluated
687377,Orlando Ribalta,reliever,500,24,2.01462905158484,1.3003568196662905,-0.549289411272402,1.549289411272402,96.10593053144937,evaluated
607074,Carlos Rodón,starter,500,94,2.118229707293538,1.388714199939098,-0.5253172376191104,1.5253172376191104,96.00412452882061,evaluated
621112,Paul Blackburn,reliever,500,21,2.1491824104898467,1.5007629799588726,-0.4320598516820715,1.4320598516820715,95.60807526707363,evaluated
646241,Enmanuel De Jesus,reliever,351,25,2.2504720288169486,1.5878010899856079,-0.41735135654639666,1.4173513565463967,95.54561063136289,evaluated
683769,Hunter Gaddis,reliever,500,16,2.098988716804437,1.4835979614521375,-0.41479617210444153,1.4147961721044415,95.53475917009045,evaluated
675911,Spencer Strider,starter,500,99,1.878566978168695,1.407175778701843,-0.3349909844964236,1.3349909844964236,95.19583925165017,evaluated
666661,Juan Morillo,reliever,500,22,1.8771887391071858,1.4081089506935232,-0.33312748149397886,1.3331274814939789,95.18792525126334,evaluated
688642,Zach Agnos,starter,500,71,2.549197508996251,1.9148138641951686,-0.3313030350695343,1.3313030350695343,95.18017711794137,evaluated
677952,Braxton Ashcraft,starter,500,97,2.053854532669742,1.5703573943870157,-0.3078898727199981,1.3078898727199981,95.08074514726661,evaluated
663554,Casey Mize,starter,500,94,1.9339698817343796,1.53883643877817,-0.2567741658560829,1.256774165856083,94.86366488318117,evaluated
693686,Spencer Miles,starter,384,63,1.8822126311662455,1.5037527645457607,-0.2516769215947585,1.2516769215947585,94.84201769881763,evaluated
687396,Brent Headrick,reliever,500,11,1.2446882151811736,1.0090854701086438,-0.23348145628057004,1.23348145628057,94.76474445624902,evaluated
