pitcher_id,pitcher_name,role,total_pitches,n_pitches_test,mean_surp_model,mean_surp_base,ppi,unpredictability_ratio,deception_plus,status
682842,Abner Uribe,reliever,500,11,10.973629970185703,0.7724011386511465,-1,14.207164413751496,149.86190920966402,evaluated
694819,Jacob Misiorowski,starter,500,75,13.11971101642256,1.4257438654174892,-1,9.202011198961618,128.60582085022403,evaluated
676051,Codi Heuer,reliever,193,8,13.73748002230221,1.6497106314853047,-1,8.32720585060046,124.89066189622265,evaluated
642528,Jonathan Loáisiga,reliever,500,3,8.172659930982611,1.236043503138663,-1,6.611951691206599,117.60625072910048,evaluated
663542,Bryan Hudson,reliever,500,17,4.299651990321621,0.6973647379868747,-1,6.165571265810899,115.71054417288595,evaluated
663558,Jovani Morán,reliever,500,22,6.756276997105047,1.1536208531591554,-1,5.8565836241631635,114.3983228819509,evaluated
669622,Anthony Bender,reliever,500,16,5.54894430488279,0.9592591932241862,-1,5.784614152335738,114.09268000016547,evaluated
699823,Tyler Davis,reliever,243,6,7.824098460688991,1.4147290153894518,-1,5.530457335347112,113.0133164867568,evaluated
805299,Brandyn Garcia,reliever,411,6,3.7857884674750735,0.6904187388585727,-1,5.483322300512711,112.81314150264149,evaluated
657612,Tim Hill,reliever,500,25,5.428962235339299,1.0114651816723699,-1,5.367423746967721,112.32093880890497,evaluated
682243,Bryce Miller,starter,500,70,7.575675946123948,1.4376690164386605,-1,5.269415880499482,111.90471501311522,evaluated
800311,Didier Fuentes,reliever,500,25,4.5875411984616825,1.14568838422907,-1,4.004178851432298,106.53145490870573,evaluated
656464,Kevin Ginkel,reliever,500,12,3.592820673390029,0.9030348308235895,-1,3.9786069714645342,106.42285520819993,evaluated
663574,Tony Santillan,reliever,500,17,3.1888733584788755,0.8313711723707593,-1,3.8356794948583586,105.81586498405348,evaluated
693686,Spencer Miles,starter,500,70,5.76380247182241,1.5145440823357414,-1,3.8056353321412932,105.68827221116648,evaluated
681799,Ethan Roberts,reliever,500,22,5.362938907500011,1.4693127175169793,-1,3.6499642612247634,105.02716197209674,evaluated
663423,Trent Thornton,reliever,500,27,6.575553552998696,1.8409107546652967,-1,3.5719024055537245,104.69564570667207,evaluated
669461,Matthew Liberatore,starter,500,84,5.241654263805466,1.549181669677524,-1,3.3834987635094875,103.89552545247106,evaluated
656222,Jalen Beeks,reliever,500,14,3.2149808744300965,0.9910146353195421,-1,3.2441305706786663,103.30365093950837,evaluated
621383,Tanner Banks,reliever,500,34,4.689407256002137,1.45017815865713,-1,3.2336766541460977,103.25925482135122,evaluated
682120,Tim Herrin,reliever,500,18,4.724006365439443,1.4829912593077215,-1,3.1854579963233682,103.05447786303056,evaluated
663878,Nate Pearson,reliever,500,11,5.355989577924981,1.7219022881749928,-1,3.1105072655439,102.73617404940397,evaluated
642546,Jonathan Hernández,reliever,500,27,3.6392989248337417,1.1714097463377868,-1,3.106768520760042,102.72029619590606,evaluated
694361,Will Klein,reliever,500,18,3.320380028523857,1.1042780479791936,-1,3.006833319380101,102.29588731577957,evaluated
547973,Aroldis Chapman,reliever,500,12,4.072203759362714,1.3641728942338494,-1,2.9851082487969802,102.20362440191604,evaluated
