pitcher_id,pitcher_name,role,total_pitches,n_pitches_test,mean_surp_model,mean_surp_base,ppi,unpredictability_ratio,deception_plus,status
621237,José Alvarado,reliever,500,10,10.922008592985723,0.5671939750508505,-1,19.256214052708398,171.30441868964044,evaluated
689254,Mason Fluharty,reliever,500,14,16.418141736242045,0.9257041431299323,-1,17.735841259962456,164.84763764117997,evaluated
660825,Eduard Bazardo,reliever,500,12,13.684598563049411,0.8305857581874987,-1,16.475840607852334,159.49661559552834,evaluated
657612,Tim Hill,reliever,500,19,10.222123151234351,1.1039094120100628,-1,9.259929338423985,128.85178996189651,evaluated
682842,Abner Uribe,reliever,500,13,7.1586313863642275,0.8542694308307142,-1,8.379828573993318,125.11414221943188,evaluated
666808,Camilo Doval,reliever,500,22,11.820535154509404,1.5674125341580372,-1,7.541432071588613,121.55360583411206,evaluated
676617,Riley O'Brien,reliever,500,31,7.234234070253124,1.1341633796047828,-1,6.378476152857279,116.61471731145078,evaluated
693645,Cam Schlittler,starter,500,75,8.71604214841995,1.5098635367249849,-1,5.772735042880593,114.04223131470587,evaluated
694361,Will Klein,reliever,500,23,7.447844483134037,1.5425320339857034,-1,4.828324027663639,110.03146818206864,evaluated
675848,Juan Mejia,reliever,500,16,5.964785447947781,1.2734795495286697,-1,4.683848633576739,109.41790419897187,evaluated
680755,Braydon Fisher,reliever,500,14,5.46447949714889,1.2121766850500688,-1,4.507989276268897,108.67105752368448,evaluated
657756,Connor Seabold,reliever,491,3,7.030960765575781,1.6929759259729589,-1,4.153018751010924,107.16355425134019,evaluated
669622,Anthony Bender,reliever,500,6,4.742318743386039,1.2207486976784458,-1,3.884762484207213,106.02431262067363,evaluated
656427,Jack Flaherty,starter,500,93,4.377026542722247,1.1546352958461763,-1,3.79083036736248,105.62539788424938,evaluated
686790,Trevor McDonald,starter,500,86,4.3944435618750575,1.2081023247592946,-1,3.637476289726218,104.97412754653332,evaluated
622088,Tejay Antone,reliever,142,17,6.14497848717116,1.6896995725263504,-1,3.6367284380521623,104.9709515396098,evaluated
667463,John King,reliever,500,26,5.414783118456769,1.7367469996610285,-1,3.1177731238422206,102.76703099211252,evaluated
668873,Caleb Kilian,reliever,500,20,4.442633764678172,1.4429779240128893,-1,3.0787953791581977,102.60149871977227,evaluated
676534,Calvin Faucher,reliever,500,12,4.1967906544377325,1.36763486205523,-1,3.068648490088176,102.55840649833767,evaluated
552640,Andrew Kittredge,reliever,500,10,2.0246775446788656,0.6679907059378766,-1,3.0309965792655227,102.39850483119527,evaluated
693855,Ian Seymour,reliever,500,39,4.360672477231829,1.5998140008029713,-1,2.7257371638472603,101.10211672313334,evaluated
595345,Steven Okert,reliever,500,20,2.8508667918682353,1.12336978587718,-1,2.5377812610850525,100.30389794633619,evaluated
663158,Robert Suarez,reliever,500,13,3.031286349173284,1.358730628209436,-1,2.230969322571301,99.00091652001174,evaluated
628452,Raisel Iglesias,reliever,500,15,2.812527917995585,1.2825684154525478,-1,2.192887244150012,98.83918799960558,evaluated
656794,Sean Newcomb,reliever,500,23,3.5285978761838903,1.659124961518637,-1,2.1267824654714858,98.55845153535113,evaluated
687209,Zach Maxwell,reliever,255,18,2.613002530562383,1.2492529167895512,-1,2.0916521350036352,98.4092586182763,evaluated
670167,John Schreiber,reliever,500,9,2.6893198076165237,1.2950159891776092,-1,2.0766691918023015,98.34562844535154,evaluated
694037,Daniel Palencia,reliever,500,11,1.991476574248589,0.9707150839484916,-1,2.0515562261050238,98.23897768064536,evaluated
660853,Enyel De Los Santos,reliever,500,11,2.5718666119879487,1.2608719813904028,-1,2.0397523697464286,98.18884858309865,evaluated
605130,Scott Barlow,reliever,500,16,2.519355600703101,1.2956060298627492,-0.9445383416207089,1.944538341620709,97.78448977367837,evaluated
621345,A.J. Minter,reliever,431,19,2.018563071107693,1.0536669953924627,-0.9157504979605369,1.9157504979605369,97.66223238768863,evaluated
670059,Colin Holderman,reliever,500,18,2.5508445389114915,1.3676120722486507,-0.8651813556437464,1.8651813556437464,97.44747329616462,evaluated
663992,Richard Lovelady,reliever,500,41,2.4441410686075127,1.321374497406285,-0.8496959593250033,1.8496959593250033,97.38170928489329,evaluated
668984,Casey Legumina,reliever,500,18,3.017983751679915,1.659683470368375,-0.8184092361961395,1.8184092361961395,97.24883955588292,evaluated
669062,Erik Miller,reliever,500,13,2.282683634197477,1.2961787649625993,-0.7610870474824845,1.7610870474824845,97.00540135210257,evaluated
702193,Andrew Morris,reliever,429,18,2.590327653858798,1.5011404083448237,-0.725573197190079,1.725573197190079,96.85457968742931,evaluated
673513,Yuki Matsui,reliever,500,10,2.1986189085342054,1.2741662869963877,-0.7255353017674362,1.7255353017674362,96.85441875160626,evaluated
646241,Enmanuel De Jesus,reliever,392,35,2.225547720948517,1.39031274595421,-0.600753303474221,1.600753303474221,96.32448948319735,evaluated
687396,Brent Headrick,reliever,500,31,2.1230018088398395,1.3398181445788204,-0.5845447514126758,1.5845447514126758,96.25565434468837,evaluated
687473,Ryan Gusto,reliever,500,39,3.0543505195535747,1.9347568665356796,-0.5786740816806648,1.5786740816806648,96.23072254556102,evaluated
594580,Sam Moll,reliever,500,27,2.016741525695896,1.2954363899990637,-0.5568047503261455,1.5568047503261455,96.13784697918277,evaluated
696149,Bubba Chandler,starter,500,90,2.8803857879594785,1.8706341502610413,-0.5397910850486343,1.5397910850486343,96.06559265310379,evaluated
666661,Juan Morillo,reliever,500,18,1.9954282266005607,1.298333392436506,-0.536915123823364,1.536915123823364,96.05337890393382,evaluated
670950,Trevor Richards,reliever,500,21,1.6646233270242523,1.110368909529669,-0.4991624069601832,1.4991624069601832,95.89304912959616,evaluated
676282,Joey Cantillo,starter,500,89,2.1478652290469595,1.4400824464198512,-0.49148768140789945,1.4914876814078994,95.86045579279445,evaluated
683769,Hunter Gaddis,reliever,500,22,1.7725561955505464,1.2130715386183848,-0.46121324185825086,1.4612132418582509,95.73188507088362,evaluated
656529,Sam Hentges,reliever,391,15,2.2843484622988433,1.572360755788862,-0.4528144726893628,1.4528144726893628,95.69621683618566,evaluated
647336,Michael Soroka,starter,500,99,2.3423080493176176,1.6331099819575665,-0.43426228190091254,1.4342622819009125,95.61742863735586,evaluated
680570,Grayson Rodriguez,starter,500,90,1.9400917783073615,1.371510683537599,-0.4145655601480229,1.414565560148023,95.53377979784909,evaluated
607455,Anthony Banda,reliever,500,19,2.0016613971404866,1.4602348360867599,-0.3707804715196905,1.3707804715196905,95.3478315016092,evaluated
642528,Jonathan Loáisiga,reliever,500,22,1.8992368110269315,1.4280477146650672,-0.3299533282558256,1.3299533282558256,95.17444512811801,evaluated
672335,Cionel Pérez,reliever,500,27,2.1945761851662082,1.653863041684209,-0.32693949248141174,1.3269394924814117,95.16164584770188,evaluated
621381,Matt Strahm,reliever,500,12,1.9499874105710315,1.4926043127187103,-0.30643291993389665,1.3064329199338967,95.07455770088328,evaluated
690986,Kyle Harrison,starter,500,105,1.307996205013251,1.0295886034009722,-0.2704066465893593,1.2704066465893593,94.92155985713894,evaluated
669302,Logan Gilbert,starter,500,98,1.7769077888645053,1.4139722990840928,-0.25667793493232205,1.256677934932322,94.86325620577799,evaluated
696062,Wilber Dotel,reliever,197,41,2.112965039464692,1.685466632262939,-0.2536380127726323,1.2536380127726323,94.85034614063927,evaluated
543135,Nathan Eovaldi,starter,500,92,2.125211169011738,1.7151660085099456,-0.23907024653433995,1.23907024653434,94.78847915813697,evaluated
669358,Shane Baz,starter,500,93,1.8447678641233454,1.5093377111748287,-0.22223664754750394,1.222236647547504,94.7169895449091,evaluated
656848,Michael Petersen,reliever,500,10,2.0312677153675556,1.6815290384791497,-0.2079884848166078,1.2079884848166078,94.65647986758839,evaluated
670036,Matt Festa,reliever,500,8,1.835197752162842,1.5339692378463448,-0.1963719394656276,1.1963719394656276,94.60714625005153,evaluated
681347,Mike Burrows,starter,500,89,1.9827703871948434,1.6968352674910565,-0.16851083023903146,1.1685108302390315,94.48882455756815,evaluated
605400,Aaron Nola,starter,500,94,1.8592877055161303,1.5957405243907061,-0.16515666369133108,1.165156663691331,94.47457994657412,evaluated
701719,Tyler Samaniego,reliever,280,34,2.0174837881480454,1.7442616427512883,-0.1566405742694621,1.156640574269462,94.4384134714514,evaluated
571927,Steven Matz,starter,500,52,1.669456758083581,1.4513949934641275,-0.1502428805400473,1.1502428805400473,94.41124348536441,evaluated
700669,Gordon Graceffo,reliever,500,9,1.6854081627675397,1.485268045161987,-0.13475016732331624,1.1347501673233162,94.34544840039294,evaluated
661395,Jhoan Duran,reliever,500,13,2.497146252761989,2.2639231888456424,-0.1030172158955911,1.103017215895591,94.21068361088352,evaluated
687570,Connor Prielipp,starter,500,93,1.9039742103392459,1.7375431549080829,-0.09578527874892817,1.0957852787489282,94.17997072590227,evaluated
642701,Dennis Santana,reliever,500,18,1.7277253297572581,1.5999877069066906,-0.07983662768105071,1.0798366276810507,94.11223934550998,evaluated
656730,Trevor Megill,reliever,500,10,0.8158047004268062,0.7675038926031212,-0.06293232945029703,1.062932329450297,94.0404494838559,evaluated
680604,Blas Castaño,reliever,236,29,1.6288024798193728,1.5428725450095133,-0.05569477212346774,1.0556947721234677,94.00971273086479,evaluated
669160,Dustin May,starter,500,89,1.835953172438279,1.7505377589266193,-0.04879381383011916,1.0487938138301192,93.98040546034713,evaluated
669165,Kyle Hurt,reliever,224,24,1.5136519699358406,1.4514592826541814,-0.042848385776231845,1.0428483857762318,93.95515617453611,evaluated
596001,Jakob Junis,reliever,500,17,1.5474932309499208,1.494276955608219,-0.035613394921185204,1.0356133949211852,93.92443032094182,evaluated
663436,Davis Martin,starter,500,91,1.7716342480329637,1.7421146973946822,-0.016944665401438685,1.0169446654014387,93.84514720068536,evaluated
670329,Rico Garcia,reliever,500,13,1.5906173701463184,1.5701754929212595,-0.013018848732015087,1.013018848732015,93.82847488269086,evaluated
702070,Noah Cameron,starter,500,86,1.6724727984708192,1.6555929262361675,-0.010195665834974665,1.0101956658349747,93.81648527467306,evaluated
592791,Jameson Taillon,starter,500,98,1.8035446785013243,1.7887424860236876,-0.008275194776941497,1.0082751947769415,93.8083293400294,evaluated
542888,Shawn Armstrong,reliever,500,10,1.5055257849414985,1.495801204410123,-0.006501251972992339,1.0065012519729923,93.80079568753823,evaluated
669199,Lake Bachar,reliever,500,48,1.7134956614201866,1.7053574712678978,-0.0047721315263233866,1.0047721315263234,93.79345238845801,evaluated
641745,Brad Keller,reliever,500,11,1.954122143849513,1.9689839381492897,0.007547951007536247,0.9924520489924638,93.74113096058214,evaluated
671096,Andrew Abbott,starter,500,104,1.3337271973499576,1.3450304704771268,0.008403730157250267,0.9915962698427497,93.73749660286282,evaluated
642397,Gregory Soto,reliever,500,6,1.5037458608645626,1.5169859556359537,0.008727895418016995,0.991272104581983,93.73611992464136,evaluated
642232,Ryan Yarbrough,reliever,500,25,1.7343404380116538,1.759172855659614,0.014115962264918624,0.9858840377350814,93.71323766308623,evaluated
623211,Huascar Brazobán,reliever,500,32,0.993805844944835,1.0112764662348863,0.017275811188503853,0.9827241888114961,93.699818288086135,evaluated
641778,Eric Lauer,starter,500,69,1.8275960248933303,1.8617413350147187,0.01834052318611623,0.9816594768138838,93.69529662584576,evaluated
663941,Tristan Beck,reliever,500,41,1.3516495854679207,1.3841357376151253,0.023470351400057377,0.9765296485999426,93.67351106262622,evaluated
656222,Jalen Beeks,reliever,500,18,1.0116765028335797,1.053242551812509,0.039464840180829186,0.9605351598191708,93.60558501676941,evaluated
813349,Connelly Early,starter,500,95,1.6338489429074512,1.7146282554481882,0.047111851962116424,0.9528881480378836,93.5731093759382,evaluated
668674,Lucas Erceg,reliever,500,23,1.4694228584172901,1.5448421113765165,0.04882003953920233,0.9511799604607977,93.5658549754204,evaluated
681867,Cooper Criswell,reliever,500,22,1.4220125082368986,1.4988378735932806,0.051256621353050424,0.9487433786469496,93.5555072006156,evaluated
592094,Jason Adam,reliever,500,6,1.6370172691264342,1.7353186802824194,0.05664746900551254,0.9433525309944875,93.53261312942226,evaluated
804636,Jonah Tong,starter,475,83,1.4933640441784375,1.595788321904649,0.0641841253757035,0.9358158746242965,93.50060615044184,evaluated
693821,Bryce Elder,starter,500,102,1.4598608232107853,1.565268630608894,0.06734167243682954,0.9326583275631705,93.4871965510849,evaluated
608372,Tomoyuki Sugano,starter,500,95,1.8387396211276252,1.986082062215174,0.07418748897173488,0.9258125110282651,93.45812345883101,evaluated
571945,Miles Mikolas,starter,500,91,1.5054978224027895,1.665297113340908,0.09595842667230126,0.9040415733276987,93.36566575462655,evaluated
672782,Yoendrys Gómez,reliever,500,14,1.413630967214825,1.5787340891457695,0.10457943681971127,0.8954205631802887,93.3290536978968,evaluated
663687,Hogan Harris,reliever,500,1,0.6967216623439955,0.7849547298130681,0.1124052943665742,0.8875947056334258,93.29581852759013,evaluated
595014,Blake Treinen,reliever,500,7,1.0916680529116154,1.2304319546270222,0.1127765750829105,0.8872234249170895,93.29424175753456,evaluated
669711,Greg Weissert,reliever,500,24,1.527652509864003,1.729448508582969,0.11668228207864273,0.8833177179213573,93.27765484212065,evaluated
683618,Edgardo Henriquez,reliever,500,19,1.2144197783175659,1.3757363168410637,0.11725832672201997,0.88274167327798,93.27520847228678,evaluated
686993,Justin Sterner,reliever,500,8,1.051451108241275,1.197612988332513,0.12204433445126994,0.8779556655487301,93.25488305989354,evaluated
680730,Mitchell Parker,reliever,500,13,1.0795289626726645,1.239380639118942,0.1289770643503949,0.8710229356496051,93.22544086042751,evaluated
656271,Brock Burke,reliever,500,18,1.3666750222457364,1.605732197325681,0.14887736291150555,0.8511226370884944,93.14092746264694,evaluated
689147,Orion Kerkering,reliever,500,15,1.0446015051506263,1.2298222930220717,0.1506077657905338,0.8493922342094662,93.13357871728078,evaluated
682120,Tim Herrin,reliever,500,14,1.3038800544449571,1.5379624379149557,0.1522029262218838,0.8477970737781162,93.12680432504519,evaluated
650556,Bryan Abreu,reliever,500,31,0.7659858546844467,0.9089915192428143,0.1573234310013042,0.8426765689986958,93.1050583569668,evaluated
676879,Aaron Ashby,reliever,500,28,1.2116551785618581,1.44334543524991,0.16052308132871573,0.8394769186712843,93.0914699517452,evaluated
668941,JoJo Romero,reliever,500,13,1.2297595434969686,1.4679616228870473,0.16226723892250372,0.8377327610774963,93.08406279229665,evaluated
681190,Randy Vásquez,starter,500,79,1.6050581927880698,1.925549619895486,0.16644153118464522,0.8335584688153548,93.06633523804317,evaluated
571948,Hoby Milner,reliever,500,15,1.4039637334914867,1.768066167879855,0.20593258386080382,0.7940674161391962,92.89862302843262,evaluated
805123,AJ Blubaugh,reliever,500,22,0.9008355667909156,1.1508665971484926,0.21725457231713918,0.7827454276828608,92.85054034710305,evaluated
592155,Cam Booser,reliever,500,27,1.009765383245939,1.3040242996628162,0.22565447322796384,0.7743455267720362,92.81486730607736,evaluated
691951,Sam Aldegheri,starter,500,72,1.47512331329767,1.9158553210463818,0.23004451479561483,0.7699554852043852,92.79622349889323,evaluated
656464,Kevin Ginkel,reliever,500,10,0.7365402918665198,0.9609384101930064,0.23351977186697714,0.7664802281330229,92.78146463573547,evaluated
641329,Bryan Baker,reliever,500,12,0.6890045539230605,0.932845263037163,0.26139459434054957,0.7386054056594504,92.66308470527679,evaluated
699134,Bradgley Rodriguez,reliever,500,11,1.0923947171326414,1.5391830831909024,0.2902762971718853,0.7097237028281147,92.5404287143393,evaluated
669093,Jeremiah Estrada,reliever,500,21,0.7754510370503744,1.1304296166041825,0.3140209477350442,0.6859790522649558,92.43958896602888,evaluated
666277,George Soriano,reliever,500,9,1.0777781927859462,1.6867723547628164,0.36104110922691945,0.6389588907730805,92.23990183069941,evaluated
592332,Kevin Gausman,starter,500,95,0.7464269743829784,1.1912391614290345,0.3734029248269931,0.6265970751730069,92.1874031691396,evaluated
656945,Tanner Scott,reliever,500,20,0.5579892204734932,0.9032128681536042,0.38221737073546747,0.6177826292645325,92.14996962154781,evaluated
669298,TJ Shook,reliever,0,10,NA,NA,NA,NA,NA,debut_no_history
695611,Gage Jump,starter,88,85,NA,NA,NA,NA,NA,insufficient_history
810938,Ben Williamson,reliever,7,11,NA,NA,NA,NA,NA,insufficient_history
