pitcher_id,pitcher_name,role,total_pitches,n_pitches_test,mean_surp_model,mean_surp_base,ppi,unpredictability_ratio,deception_plus,status
657044,Ryan Thompson,reliever,500,2,12.01559664002895,0.7058060845520903,-1,17.023934623139635,161.82428356457297,evaluated
647315,Zach Pop,reliever,500,5,16.840482925743668,1.1787772105354941,-1,14.286400157069023,150.19841078891767,evaluated
676617,Riley O'Brien,reliever,500,14,12.561296313680598,1.1095124109921048,-1,11.32145633454296,137.60676670374545,evaluated
621237,José Alvarado,reliever,500,16,8.02291824593678,0.762993586235692,-1,10.515053325046516,134.18210158609742,evaluated
663687,Hogan Harris,reliever,500,19,14.495375745728015,1.4192719084350145,-1,10.213247834737743,132.90038174774944,evaluated
643511,Tyler Rogers,reliever,500,20,6.484720398353116,0.6566131640207585,-1,9.876013387614789,131.4682007738063,evaluated
677865,Justin Bruihl,reliever,433,2,8.848407853474432,0.9953845596029174,-1,8.889436517886386,127.27836597427219,evaluated
672282,Reid Detmers,starter,500,91,12.90206588002153,1.496683931374959,-1,8.620434555055846,126.13595749137247,evaluated
642100,Gabe Speier,reliever,500,9,9.433264870663725,1.0943382225678533,-1,8.620063410129884,126.134381297997,evaluated
689254,Mason Fluharty,reliever,500,14,8.026710795261135,0.99693651008752,-1,8.051376104739587,123.71925690649014,evaluated
660825,Eduard Bazardo,reliever,500,8,9.806899391240234,1.2477039038193873,-1,7.859957287317939,122.90633168279248,evaluated
608371,Lucas Sims,reliever,500,15,10.277527540689471,1.373647344174985,-1,7.481925826356962,121.30089229022995,evaluated
657612,Tim Hill,reliever,500,16,5.111689652233881,0.6908285959341699,-1,7.399360249877354,120.95024943999458,evaluated
666808,Camilo Doval,reliever,500,12,7.713474403787408,1.2258329347862833,-1,6.292435278003202,116.24931542264994,evaluated
685005,Christian Roa,reliever,119,34,8.352729972803285,1.6312361299274227,-1,5.12049103104093,111.27225490187362,evaluated
656550,Grant Holmes,starter,500,93,7.206134312296868,1.5321505309996974,-1,4.703280889505687,109.50042989425498,evaluated
668873,Caleb Kilian,reliever,226,13,7.973898476393561,1.7165618292897944,-1,4.645273092022943,109.2540800192529,evaluated
606303,Joel Payamps,reliever,500,6,4.870399593209197,1.052885141873586,-1,4.625765337083614,109.17123369170005,evaluated
663542,Bryan Hudson,reliever,500,9,5.966753435215848,1.3430125577934715,-1,4.442812839381816,108.39426357912919,evaluated
656848,Michael Petersen,reliever,500,21,4.446877584307014,1.096356847602807,-1,4.056049445972037,106.75174106049332,evaluated
694918,Blade Tidwell,reliever,365,13,5.079332551713391,1.3700730759501327,-1,3.7073442584009046,105.27084567920812,evaluated
455119,Chris Martin,reliever,500,8,4.758842634078036,1.305751203721163,-1,3.6445247919482404,105.00406141261165,evaluated
657424,Matt Gage,reliever,500,13,4.200045688134314,1.187649055413902,-1,3.5364366847162403,104.54502844012661,evaluated
572955,Pierce Johnson,reliever,500,9,3.6504411809760895,1.072789596809676,-1,3.402755947514763,103.97730764518408,evaluated
679883,Luinder Avila,starter,290,62,6.337529345972074,1.9844135052285565,-1,3.1936536055987705,103.0892833100252,evaluated
650556,Bryan Abreu,reliever,500,21,2.865930488523434,0.9033521196971123,-1,3.1725507983358257,102.99966304935307,evaluated
677053,Andrew Nardi,reliever,500,10,3.5910393046041627,1.133448723791676,-1,3.1682415174382283,102.98136221986911,evaluated
663485,Cole Sands,reliever,500,8,5.862718141398578,1.8999379196570292,-1,3.0857419501669283,102.63099970022586,evaluated
694851,Andrew Hoffmann,reliever,333,33,3.5737426061823023,1.2310792932535108,-1,2.9029345435074076,101.85464576619789,evaluated
695418,Brad Lord,starter,500,51,4.417409467911779,1.5525943713522687,-1,2.845179365209428,101.60936872463012,evaluated
676508,Ben Casparius,reliever,500,16,3.904287298664706,1.4380127430515501,-1,2.715057510811463,101.05676193800781,evaluated
669022,MacKenzie Gore,starter,500,81,4.102444464602798,1.5315131727674307,-1,2.6786870250614414,100.902302279012,evaluated
640455,Sean Manaea,starter,500,69,4.5942460967266685,1.7873022471960696,-1,2.5704919825027632,100.44281516922986,evaluated
681982,Grant Anderson,reliever,500,30,3.2712708113071227,1.3447461877901064,-1,2.432630663696454,99.85734011019736,evaluated
660761,José Suarez,reliever,500,24,2.5878004790942546,1.1139639800100531,-1,2.323055794919779,99.39199309828,evaluated
688642,Zach Agnos,reliever,500,44,4.968807841171059,2.1421266126575143,-1,2.3195677658879252,99.37717999464067,evaluated
664991,Grant Wolfram,reliever,500,10,3.3272011086250686,1.477863172961221,-1,2.2513593744665115,99.08750982218228,evaluated
669093,Jeremiah Estrada,reliever,500,12,2.3179754309218237,1.0464707196477483,-1,2.215040886860242,98.93327099101944,evaluated
681892,Kody Funderburk,reliever,500,20,3.0418481329326856,1.3980396594777464,-1,2.175795309032222,98.76660127398368,evaluated
676684,Will Vest,reliever,500,14,2.336036562020755,1.112443151830536,-1,2.0999154502203408,98.44435160161778,evaluated
670245,Ryan Watson,reliever,114,12,3.391189212278044,1.6500437002405606,-1,2.055211756987794,98.25450213796171,evaluated
695243,Mason Miller,reliever,500,10,2.146901304034775,1.067671549691371,-1,2.010825618286236,98.06600127781087,evaluated
669371,Cole Henry,reliever,500,42,2.296737509442172,1.1629259199607995,-0.9749645871850474,1.9749645871850474,97.91370519155019,evaluated
640451,Hunter Harvey,reliever,500,16,2.336813036133267,1.2013081034300503,-0.9452237352441488,1.9452237352441488,97.78740053121078,evaluated
607455,Anthony Banda,reliever,500,21,3.0108169651465846,1.582198237215633,-0.902932827459755,1.902932827459755,97.60779778298527,evaluated
656302,Dylan Cease,starter,500,95,3.4408690742957613,1.8137858143594825,-0.8970647179258397,1.8970647179258397,97.58287685661139,evaluated
650633,Michael King,starter,500,94,3.0152321472671844,1.6591682748373573,-0.8173154543729191,1.817315454372919,97.24419443872415,evaluated
622663,Luis Severino,starter,500,99,3.1692421168122573,1.7573515920949776,-0.8034194927573566,1.8034194927573566,97.18518050343302,evaluated
656605,Mitch Keller,starter,500,74,2.8305553706509463,1.5772781445082757,-0.7945822558350264,1.7945822558350264,97.1476501660361,evaluated
689520,Cody Laweryson,reliever,162,26,2.3671341196631093,1.3333461923142063,-0.7753334680130008,1.7753334680130008,97.06590363057579,evaluated
641401,Connor Brogdon,reliever,500,24,1.8974972888614599,1.0722407962427114,-0.7696559350386294,1.7696559350386294,97.04179205249058,evaluated
693433,Bryan Woo,starter,500,82,2.3720212323514094,1.35395953830306,-0.7519144149051182,1.7519144149051182,96.96644664278877,evaluated
671212,Joe Boyle,starter,500,83,3.0833014943022627,1.7609503485677303,-0.750930397787801,1.750930397787801,96.96226767884994,evaluated
676571,PJ Poulin,reliever,500,15,2.7235497158678297,1.5616892522230343,-0.7439767303200104,1.7439767303200104,96.93273656086522,evaluated
669194,Ryne Nelson,starter,500,85,1.9425670276178226,1.1208865067481975,-0.733063085265788,1.733063085265788,96.88638804891346,evaluated
665660,Elvis Alvarado,reliever,500,11,2.1398939996966333,1.2664122692484994,-0.6897293651193588,1.6897293651193588,96.70235664271117,evaluated
668390,Cole Winn,reliever,500,16,2.8002218965716996,1.688488952343449,-0.6584188440707768,1.6584188440707768,96.56938584772688,evaluated
670329,Rico Garcia,reliever,500,22,2.158429832426914,1.3322965454048548,-0.6200821355211246,1.6200821355211246,96.40657595372932,evaluated
666171,Ryan Zeferjahn,reliever,500,42,2.7008013810212708,1.6864885587386307,-0.601434748564954,1.601434748564954,96.32738347194038,evaluated
656638,Alex Lange,reliever,416,37,2.8628716885424397,1.7984677691451607,-0.5918393076920174,1.5918393076920174,96.28663316315058,evaluated
686973,Louis Varland,reliever,500,12,2.0742879413068493,1.3077868472724778,-0.5861055229550498,1.5861055229550498,96.26228269279079,evaluated
676962,Ben Brown,reliever,500,30,2.071656618238787,1.3091054246036629,-0.582497925150673,1.582497925150673,96.24696179962241,evaluated
594580,Sam Moll,reliever,500,27,2.208208690821429,1.4112973931690267,-0.5646657476373291,1.5646657476373291,96.17123138247058,evaluated
666142,Cole Ragans,reliever,500,17,1.9497153918379093,1.273757003638313,-0.5306808019652205,1.5306808019652205,96.02690273215825,evaluated
670036,Matt Festa,reliever,500,21,2.456385840832145,1.6117200106032485,-0.5240772743851132,1.5240772743851132,95.99885860249763,evaluated
669270,Joel Kuhnel,reliever,163,12,3.129577879072643,2.0734015002315114,-0.5093930812354488,1.5093930812354488,95.93649717345006,evaluated
676263,Jack Dreyer,reliever,500,18,1.3459745211658738,0.9304298045579165,-0.4466158699692546,1.4466158699692546,95.66989235789909,evaluated
663855,Jordan Hicks,reliever,500,12,2.4573479167132137,1.7069463274128407,-0.43961639405366104,1.439616394053661,95.64016669873405,evaluated
680694,Kyle Bradish,starter,500,95,2.0636527496125803,1.4369911019172594,-0.4360929214239515,1.4360929214239515,95.62520307178096,evaluated
660271,Shohei Ohtani,starter,500,95,2.542609439751993,1.8190490270227495,-0.39776850540059394,1.397768505400594,95.46244538218431,evaluated
701542,Will Warren,starter,500,84,2.113957763003957,1.5175289382200021,-0.393026327052149,1.393026327052149,95.44230610618914,evaluated
680732,Sean Burke,starter,500,91,2.215983914668743,1.618268085749688,-0.36935525960283266,1.3693552596028327,95.34177885364107,evaluated
664285,Framber Valdez,starter,500,86,1.5111242565758305,1.137667106673031,-0.3282657534108808,1.3282657534108808,95.1672782665899,evaluated
678606,Jose A. Ferrer,reliever,500,15,1.9745196609557174,1.4938500626881743,-0.32176562445804024,1.3217656244580402,95.13967325442744,evaluated
641927,Bailey Ober,starter,500,98,2.0989639031392624,1.60483208675531,-0.3079025029858422,1.3079025029858422,95.0807987859936,evaluated
663903,Brady Singer,starter,500,72,1.843461958992274,1.424245894828144,-0.29434247673553204,1.294342476735532,95.02321151468266,evaluated
700241,Michael McGreevy,starter,500,90,2.548964149065283,1.9742421222094249,-0.29111020395647924,1.2911102039564792,95.00948456710583,evaluated
678906,Kai-Wei Teng,reliever,500,17,1.9340659234707398,1.5125967408450105,-0.27863948879744105,1.278639488797441,94.9565234264673,evaluated
605130,Scott Barlow,reliever,500,17,1.923894506006187,1.5253203670625333,-0.2613051969608384,1.2613051969608384,94.88290745046912,evaluated
681168,Luis Curvelo,reliever,325,18,2.6138360424000733,2.0761302298866857,-0.25899425998085635,1.2589942599808563,94.87309326925795,evaluated
