pitcher_id,pitcher_name,role,total_pitches,n_pitches_test,mean_surp_model,mean_surp_base,ppi,unpredictability_ratio,deception_plus,status
621237,José Alvarado,reliever,500,16,8.352071914068995,0.6873693178581018,-1,12.150777896363957,141.12876326208576,evaluated
621366,Ryan Borucki,reliever,500,16,13.76226456512012,1.3518607033929486,-1,10.180238637441782,132.76019694534943,evaluated
642207,Devin Williams,reliever,500,13,7.751181323151806,0.8284659422885011,-1,9.356065141000775,129.2600634005676,evaluated
689254,Mason Fluharty,reliever,500,27,7.8826395765963575,1.2127545959062476,-1,6.4997812444536205,117.12988071100517,evaluated
670329,Rico Garcia,reliever,500,2,8.494113145359492,1.331841188460324,-1,6.37772222315719,116.61151549211894,evaluated
666974,Yennier Cano,reliever,500,10,8.464410214119784,1.328524360713443,-1,6.371287169754444,116.58418684545089,evaluated
678022,Jack Perkins,reliever,500,15,8.13973819855905,1.3280315170733632,-1,6.129175470546754,115.55597702841557,evaluated
606965,Chris Devenski,reliever,500,19,9.163086819343231,1.4988550693762057,-1,6.113390818471014,115.48894212561709,evaluated
663574,Tony Santillan,reliever,500,4,3.903723374682363,0.6809685137079126,-1,5.7326048063901895,113.87180459326113,evaluated
668873,Caleb Kilian,reliever,344,22,9.340097549874407,1.7191434589139152,-1,5.432994844871818,112.59940881592821,evaluated
663765,Jake Woodford,reliever,500,9,8.027950933214,1.5101258121042358,-1,5.3160808648305355,112.10289376762402,evaluated
671096,Andrew Abbott,starter,500,85,7.957064490300259,1.551059443123223,-1,5.1300835216720415,111.31299268145636,evaluated
605130,Scott Barlow,reliever,500,21,8.688252359916357,1.8282127425257824,-1,4.752320207501142,109.70869206559428,evaluated
682254,Mason Montgomery,reliever,500,12,3.590820298154677,0.7664051989060215,-1,4.685276539460156,109.4239682877868,evaluated
681982,Grant Anderson,reliever,500,8,5.156149541353089,1.1081556001141324,-1,4.652911144267142,109.2865176103574,evaluated
702193,Andrew Morris,reliever,191,19,7.52168150635475,1.7911498413015117,-1,4.199359167454821,107.36035461773737,evaluated
676755,Isaac Mattson,reliever,500,30,2.954986714968562,0.7338698325247772,-1,4.0265815325891525,106.62659552672943,evaluated
642528,Jonathan Loáisiga,reliever,500,16,6.67477835342043,1.7029937086187594,-1,3.9194380576039336,106.17157425691225,evaluated
657424,Matt Gage,reliever,500,2,3.581969923747465,0.9904714612855419,-1,3.616429209478074,104.8847439496155,evaluated
675660,Shane Drohan,starter,144,60,7.759365865257012,2.1781554036451416,-1,3.5623564105075873,104.65510538643174,evaluated
656638,Alex Lange,reliever,479,5,7.45327828879891,2.1387177916905054,-1,3.4849283611689694,104.32628079553261,evaluated
573009,Joe Mantiply,reliever,500,4,3.773204122008157,1.2118532235600372,-1,3.1135817842062505,102.7492310403781,evaluated
663567,Peter Lambert,starter,500,90,5.176498778508641,1.7004084123421677,-1,3.0442679187751462,102.45486609590762,evaluated
650556,Bryan Abreu,reliever,500,26,2.7554708790776474,0.9277348805389339,-1,2.970105939616021,102.1399119847609,evaluated
683175,Connor Phillips,reliever,500,23,2.7819633703298163,0.9524069343517116,-1,2.920981851338005,101.93128980753585,evaluated
687064,Brandon Young,starter,500,81,5.23724622323145,1.799833904950939,-1,2.9098497415928,101.8840135108439,evaluated
621383,Tanner Banks,reliever,500,26,4.458975909467088,1.677337717352899,-1,2.6583650169770516,100.81599794806633,evaluated
677865,Justin Bruihl,reliever,500,18,3.5512519082721896,1.3444448733393186,-1,2.6414261965621737,100.74406147619582,evaluated
605135,Chris Bassitt,starter,500,93,3.994749701430326,1.7166376329557789,-1,2.32707801852858,99.40907484118797,evaluated
607455,Anthony Banda,reliever,500,14,2.9683634100046454,1.4091165220994681,-1,2.106542193957124,98.47249432659734,evaluated
592773,Ryne Stanek,reliever,500,14,2.48369728792991,1.1848069838441335,-1,2.096288527833873,98.42894864002776,evaluated
669620,Brady Basso,reliever,500,11,2.795022557736472,1.3500018323706657,-1,2.0703842696481995,98.31893738217987,evaluated
640448,Kyle Finnegan,reliever,500,17,2.1189057246601397,1.0364962010296863,-1,2.0442966626941375,98.20814747132094,evaluated
605488,Jeffrey Springs,starter,500,66,2.8009599392833735,1.4589987932912003,-0.9197822178899722,1.9197822178899722,97.67935445995754,evaluated
592332,Kevin Gausman,starter,500,93,1.9646176409934182,1.0465497632952403,-0.8772328941220002,1.8772328941220002,97.49865426021663,evaluated
660761,José Suarez,reliever,500,31,2.3742144561470417,1.2779939259880477,-0.857766619908995,1.857766619908995,97.41598409470039,evaluated
689296,Anthony Nunez,reliever,205,13,2.875720154156133,1.606581353528983,-0.7899623619055369,1.789962361905537,97.12803021248777,evaluated
805123,AJ Blubaugh,reliever,500,12,2.3747523104401456,1.3334911177442144,-0.7808534896410628,1.7808534896410628,97.08934628306551,evaluated
680767,Victor Vodnik,reliever,500,24,2.3510340476999536,1.3394805681694757,-0.7551833924047584,1.7551833924047584,96.98032946946668,evaluated
642547,Freddy Peralta,starter,500,89,2.3464952130754244,1.3742822090048874,-0.7074333042370626,1.7074333042370626,96.77754245182567,evaluated
667297,Tommy Nance,reliever,500,18,1.925247978236599,1.1297146134331104,-0.7041896735193391,1.7041896735193391,96.76376726889269,evaluated
548384,Brooks Raley,reliever,500,12,1.9694079040661614,1.1714839977475378,-0.6811223267691457,1.6811223267691457,96.66580392197834,evaluated
622608,Antonio Senzatela,reliever,500,15,2.484940021811554,1.4901941867869664,-0.6675276577003539,1.667527657700354,96.60806952813607,evaluated
663992,Richard Lovelady,reliever,500,12,2.7035579727595414,1.6452262469831032,-0.6432742777579257,1.6432742777579257,96.5050692871948,evaluated
676254,Ryan Walker,reliever,500,20,1.0832837740721033,0.6684399855863146,-0.6206148606174617,1.6206148606174617,96.40883835234791,evaluated
665622,Luis Medina,starter,500,51,2.2000306239819682,1.428369713977111,-0.5402389188554462,1.5402389188554462,96.06749453193935,evaluated
596133,Luke Weaver,reliever,500,12,1.4549089174351861,0.9574836665669124,-0.5195130405219417,1.5195130405219417,95.97947502838406,evaluated
606303,Joel Payamps,reliever,500,16,2.029128517676345,1.3366067640194785,-0.5181192945442661,1.518119294544266,95.97355601124697,evaluated
670167,John Schreiber,reliever,500,19,2.727270405849637,1.802688806377082,-0.5128902982044441,1.512890298204444,95.95134929679475,evaluated
694973,Paul Skenes,starter,500,101,2.6778580860744703,1.8044103932722135,-0.4840626589488328,1.4840626589488328,95.82892290525079,evaluated
680742,Jonathan Bowlan,reliever,500,22,3.011104715191463,2.0586748680884726,-0.4626421888500265,1.4626421888500265,95.73795358111991,evaluated
668941,JoJo Romero,reliever,500,20,3.0679351886986166,2.1494957858610717,-0.4272813228473602,1.4272813228473602,95.58778161635408,evaluated
663767,Chase Shugart,reliever,500,20,2.5020070042957556,1.7632508339977246,-0.4189739520060731,1.4189739520060731,95.55250153579327,evaluated
681402,Gus Varland,reliever,500,22,1.4956925280405127,1.0989070861890842,-0.36107278480426075,1.3610727848042607,95.30660450260761,evaluated
641835,Tim Mayza,reliever,500,30,1.191154066415199,0.9079968053662962,-0.31184830098017113,1.3118483009801711,95.09755596149186,evaluated
693821,Bryce Elder,starter,500,89,2.139037080754406,1.635729205925302,-0.3076963307899072,1.3076963307899072,95.07992320552162,evaluated
605288,Adrian Houser,starter,500,67,1.7334455750294535,1.3966156329433446,-0.2411758354560627,1.2411758354560627,94.79742125885758,evaluated
660853,Enyel De Los Santos,reliever,500,25,1.4630421860925578,1.1862132558206784,-0.23337197499142426,1.2333719749914243,94.76427950665489,evaluated
664285,Framber Valdez,starter,500,98,1.7744140823927568,1.4423000341554495,-0.23026696274868996,1.23026696274869,94.75109301430263,evaluated
669330,Tyler Wells,reliever,500,15,1.9204810181290763,1.6102765203420768,-0.19264051476146582,1.1926405147614658,94.59129948376595,evaluated
641745,Brad Keller,reliever,500,19,1.968536295780319,1.6519517756801867,-0.19164271303850833,1.1916427130385083,94.58706197880292,evaluated
700669,Gordon Graceffo,reliever,500,23,2.2446714439800117,1.9073467733139868,-0.17685544935278252,1.1768554493527825,94.5242628256083,evaluated
669920,Jason Alexander,reliever,500,30,1.7933542018270485,1.5483646856361826,-0.15822468599521566,1.1582246859952157,94.44514094159443,evaluated
670990,Yohan Ramírez,reliever,500,15,1.809836033776064,1.58512906109438,-0.14175941770100753,1.1417594177010075,94.37521557014139,evaluated
702070,Noah Cameron,starter,500,91,1.9921146629874436,1.8233670628047531,-0.09254724604003672,1.0925472460400367,94.16621931682101,evaluated
571945,Miles Mikolas,starter,500,78,2.0879329771231134,1.914529218407381,-0.09057253190420367,1.0905725319042037,94.15783302046711,evaluated
680730,Mitchell Parker,reliever,500,33,1.6109178773644586,1.4888121696627183,-0.08201552230017217,1.0820155223001722,94.12149276384952,evaluated
657277,Logan Webb,starter,500,91,1.727522420460573,1.6021009436234468,-0.07828562696771302,1.078285626967713,94.10565249256193,evaluated
621121,Lance McCullers Jr.,starter,500,98,1.939170809662254,1.8034145033146078,-0.07527737305989901,1.075277373059899,94.09287691744403,evaluated
647336,Michael Soroka,starter,500,78,1.69655309054201,1.5907438211486427,-0.06651559351458913,1.0665155935145891,94.0556670355066,evaluated
690928,Hunter Dobbins,starter,500,78,2.0145070948068087,1.8949796612520615,-0.06307583980915776,1.0630758398091578,94.04105894948812,evaluated
694297,Brandon Pfaadt,reliever,500,14,2.033847396959693,1.9618566284335999,-0.03669522404579206,1.036695224045792,93.92902467689372,evaluated
623454,Drew Anderson,reliever,268,31,1.8050636013460417,1.7708827112116694,-0.019301611517221984,1.019301611517222,93.85515677536681,evaluated
605540,Brandon Woodruff,reliever,500,20,1.4708956603252228,1.4651000992387087,-0.003955744108901316,1.0039557441089013,93.78998532115045,evaluated
694335,Matt Svanson,reliever,500,16,1.2111571390719007,1.2243437421519472,0.0107703438389527,0.9892296561610473,93.72744597156901,evaluated
641927,Bailey Ober,starter,500,87,1.643429087102683,1.6753639839715686,0.019061467940346688,0.9809385320596533,93.69223488832434,evaluated
607481,Aaron Bummer,reliever,500,11,2.0236791141630794,2.0659985679981294,0.020483776944751675,0.9795162230552483,93.68619456856295,evaluated
547179,Michael Lorenzen,starter,500,84,1.929295341649591,1.9998839278491793,0.03529634156093464,0.9647036584390654,93.62328796634723,evaluated
656730,Trevor Megill,reliever,500,12,0.7713196267136454,0.8501622961007781,0.0927383744830137,0.9072616255169863,93.37934080330542,evaluated
676775,Keaton Winn,reliever,500,38,1.0962438992982695,1.272764875388493,0.13869095502525008,0.8613090449747499,93.18418751419856,evaluated
675989,Cody Bolton,reliever,374,18,1.7676535419800363,2.113156291668121,0.16350080259105937,0.8364991974089406,93.07882404390863,evaluated
689147,Orion Kerkering,reliever,500,16,1.0252934028499918,1.228317410094003,0.16528627338146562,0.8347137266185344,93.07124143389542,evaluated
641941,Emilio Pagán,reliever,500,10,0.9824083296059769,1.1804547231996505,0.16777127466343156,0.8322287253365684,93.06068802932296,evaluated
650911,Cristopher Sánchez,starter,500,84,0.9340585055365597,1.1361884422276154,0.1779017715536333,0.8220982284463667,93.01766542286471,evaluated
